"Timestamp","What grade are you currently enrolled in? ","What is your expected graduation year?","Which school are you enrolled in?","What is your major? ","How would you describe your major?","How many credits are you taking this semester? (number answer)","During the current semester, how would you describe your grades? (90+ is an A, 80-89 is a B, 70-79 is a C, 65-69 is a D, below 65 is a F) ","On average, how many hours a day do you spend studying for tests, exams, quizzes, etc?","On average, how many hours a day do you spend purely on completing homework?","How much free time do you have per day on average outside of academics?","How many hours of sleep do you get per night on a weekday on average?","How many hours of sleep do you get per night on a weekend on average?","On a scale of 1-10, how stressed do you think you are on a daily basis?","How does stress affect you?","Out of the following, which do you think causes the MOST stress in your life?"
"2022/11/29 7:00:42 PM AST","Sophomore","2025","SAR","Behaviour and Health ","Health and Medicine","16","Mostly B’s","4-5 hrs","3-4 hrs","3-4 hrs","4-6 hrs","7-9 hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/29 7:00:46 PM AST","Junior","2024","CAS","Computer Science ","Science, Technology, Engineering, and Math (STEM)","16","Mostly B’s","< 1 hr","5+ hrs","4-5 hrs","4-6 hrs","10+ hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Classwork and/or rigor of classes"
"2022/11/29 7:01:01 PM AST","Senior","2023","CAS","Sociology ","Social Sciences","20","Mostly B’s","1-2 hrs","1-2 hrs","4-5 hrs","4-6 hrs","7-9 hrs","4","Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic)","Grades"
"2022/11/29 7:01:32 PM AST","Senior","2023","QST","Business Analytics ","Business","20","Mostly B’s","5+ hrs","3-4 hrs","3-4 hrs","7-9 hrs","7-9 hrs","10","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Self-Imposed Pressure"
"2022/11/29 7:01:43 PM AST","Senior","2023","ENG","Biomedical Engineering","Science, Technology, Engineering, and Math (STEM)","14","Mostly A’s","1-2 hrs","4-5 hrs","< 1 hr","4-6 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Work - Study - Life balance"
"2022/11/29 7:15:56 PM AST","Freshman","2026","CAS","cs","Science, Technology, Engineering, and Math (STEM)","16","All A’s","1-2 hrs","3-4 hrs","1-2 hrs","7-9 hrs","7-9 hrs","6","Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/29 7:16:08 PM AST","Junior","2024","QST","Business Administration","Business","17","Mostly B’s","1-2 hrs","1-2 hrs","1-2 hrs","4-6 hrs","7-9 hrs","9","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Classwork and/or rigor of classes"
"2022/11/29 7:18:46 PM AST","Senior","2023","QST","Business ","Business","16","Mostly A’s","1-2 hrs","4-5 hrs","1-2 hrs","7-9 hrs","7-9 hrs","10","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Grades"
"2022/11/29 7:19:23 PM AST","Junior","2024","QST","Business Administration","Business","16","Mostly B’s","5+ hrs","1-2 hrs","4-5 hrs","7-9 hrs","7-9 hrs","6","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Work - Study - Life balance"
"2022/11/29 7:19:44 PM AST","Senior","2023","QST","Business Management ","Business","16","Mostly B’s","< 1 hr","1-2 hrs","4-5 hrs","4-6 hrs","4-6 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/29 7:20:33 PM AST","Senior","2023","COM","Film and Television ","Arts and Humanities","12","All A’s","1-2 hrs","< 1 hr","3-4 hrs","7-9 hrs","10+ hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Self-Imposed Pressure"
"2022/11/29 7:21:11 PM AST","Junior","2023","QST","Business","Business","16","Mostly B’s","5+ hrs","3-4 hrs","3-4 hrs","4-6 hrs","7-9 hrs","7","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Home Life"
"2022/11/29 7:21:11 PM AST","Freshman","2026","CAS","Psychology ","Social Sciences","16","Mostly A’s","1-2 hrs","1-2 hrs","5+ hrs","7-9 hrs","4-6 hrs","2","Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Minimal stress","Combination of several small issues"
"2022/11/29 7:21:18 PM AST","Sophomore","2025","QST","Finance ","Business","19","Mostly B’s","1-2 hrs","< 1 hr","1-2 hrs","4-6 hrs","4-6 hrs","7","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Self-Imposed Pressure"
"2022/11/29 7:21:45 PM AST","Freshman","2026","QST","Business Administration ","Business","17","Mostly B’s","1-2 hrs","3-4 hrs","1-2 hrs","4-6 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/29 7:22:16 PM AST","Senior","2023","QST","Business Admin","Business","20","Mostly B’s","1-2 hrs","3-4 hrs","3-4 hrs","4-6 hrs","7-9 hrs","10","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change);Horny","Self-Imposed Pressure"
"2022/11/29 7:22:37 PM AST","Senior","2023","QST","Business","Business","25","Mostly A’s","3-4 hrs","3-4 hrs","5+ hrs","4-6 hrs","7-9 hrs","9","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/29 7:22:53 PM AST","Junior","2024","QST","Finance ","Business","16","Mostly B’s","3-4 hrs","1-2 hrs","1-2 hrs","7-9 hrs","10+ hrs","7","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/29 7:23:13 PM AST","Junior","2024","QST","Business ","Business","20","Mostly A’s","3-4 hrs","4-5 hrs","3-4 hrs","4-6 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Home Life"
"2022/11/29 7:23:26 PM AST","Senior","2023","QST","Business Analytics","Business","17","Mostly B’s","< 1 hr","1-2 hrs","1-2 hrs","4-6 hrs","7-9 hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Work - Study - Life balance"
"2022/11/29 7:23:41 PM AST","Junior","2024","QST","Business administration","Business","18.5","Mostly B’s","< 1 hr","< 1 hr","3-4 hrs","7-9 hrs","7-9 hrs","4","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic)","Relationship with other students"
"2022/11/29 7:23:53 PM AST","Junior","2024","QST","Business Administration","Business","17","Mostly B’s","< 1 hr","1-2 hrs","5+ hrs","4-6 hrs","7-9 hrs","10","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Work - Study - Life balance"
"2022/11/29 7:24:08 PM AST","Sophomore","2025","QST","Finance ","Business","19","Mostly B’s","3-4 hrs","1-2 hrs","1-2 hrs","7-9 hrs","7-9 hrs","10","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Classwork and/or rigor of classes"
"2022/11/29 7:24:29 PM AST","Sophomore","2025","COM","Advertising ","Arts and Humanities","20","Mostly B’s","1-2 hrs","3-4 hrs","3-4 hrs","4-6 hrs","7-9 hrs","8","Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Relationships with friends"
"2022/11/29 7:25:00 PM AST","Junior","2024","QST","Business Management","Business","20","Mostly B’s","1-2 hrs","1-2 hrs","4-5 hrs","7-9 hrs","4-6 hrs","5","Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Grades"
"2022/11/29 7:25:02 PM AST","Sophomore","2025","QST","business","Business","17","Mostly A’s","1-2 hrs","1-2 hrs","4-5 hrs","4-6 hrs","7-9 hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat)","Classwork and/or rigor of classes"
"2022/11/29 7:25:07 PM AST","Junior","2024","QST","Marketing","Business","16","Mostly B’s","1-2 hrs","4-5 hrs","4-5 hrs","7-9 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Self-Imposed Pressure"
"2022/11/29 7:25:36 PM AST","Sophomore","2025","QST","Business Administration ","Business","17","All A’s","1-2 hrs","1-2 hrs","1-2 hrs","7-9 hrs","7-9 hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Grades"
"2022/11/29 7:25:49 PM AST","Sophomore","2025","QST","N/A","Business","16","Mostly A’s","1-2 hrs","3-4 hrs","1-2 hrs","7-9 hrs","7-9 hrs","3","Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Peer Pressure"
"2022/11/29 7:25:55 PM AST","Sophomore","2025","QST","Business Analytics","Business","16","All A’s","1-2 hrs","1-2 hrs","3-4 hrs","7-9 hrs","7-9 hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Work - Study - Life balance"
"2022/11/29 7:25:56 PM AST","Sophomore","2025","QST","Business Administration ","Business","17","Mostly A’s","1-2 hrs","1-2 hrs","3-4 hrs","7-9 hrs","7-9 hrs","5","Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Classwork and/or rigor of classes"
"2022/11/29 7:27:25 PM AST","Sophomore","2025","CAS","Economics","Social Sciences","20","Mostly A’s","1-2 hrs","3-4 hrs","3-4 hrs","7-9 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Work - Study - Life balance"
"2022/11/29 8:11:32 PM AST","Freshman","2026","CAS","Biology","Health and Medicine","16","Mostly B’s","1-2 hrs","3-4 hrs","1-2 hrs","7-9 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/29 9:43:45 PM AST","Sophomore","2025","CAS","Statistics and Computer Science","Science, Technology, Engineering, and Math (STEM)","17","All A’s","1-2 hrs","4-5 hrs","3-4 hrs","7-9 hrs","7-9 hrs","7","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","LGBTQ+ Issues"
"2022/11/29 10:49:01 PM AST","Sophomore","2025","CAS","Neuroscience","Science, Technology, Engineering, and Math (STEM)","16","All A’s","3-4 hrs","3-4 hrs","3-4 hrs","7-9 hrs","7-9 hrs","5","Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Work - Study - Life balance"
"2022/11/29 11:09:15 PM AST","Sophomore","2025","CGS","Finance ","Business","18","Mostly B’s","1-2 hrs","5+ hrs","4-5 hrs","7-9 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Relationships with friends"
